c1,c2,c3,c4,c5,c6,c7,c8,location,year,c0
29Ëê,13290,432,205,227,12857,7033,5824,410000,2011,15
30Ëê,12446,645,321,325,11801,6432,5369,410000,2011,16
31Ëê,14655,1859,943,915,12796,6900,5897,410000,2011,17
32Ëê,21238,4706,2619,2087,16532,8675,7857,410000,2011,18
33Ëê,30772,12954,7163,5791,17818,9162,8656,410000,2011,19
34Ëê,44419,25165,14112,11053,19255,9812,9443,410000,2011,20
35Ëê,69606,46578,25380,21197,23028,11461,11568,410000,2011,21
36Ëê,93061,68030,35978,32053,25031,11977,13054,410000,2011,22
37Ëê,131590,101608,53420,48189,29982,14069,15913,410000,2011,23
38Ëê,156699,125827,66047,59780,30872,14766,16106,410000,2011,24
39Ëê,185435,152412,81129,71283,33024,15649,17375,410000,2011,25
40Ëê,187796,155982,83179,72803,31814,15481,16333,410000,2011,26
41Ëê,217660,183236,98619,84617,34424,16371,18053,410000,2011,27
42Ëê,199375,168446,90878,77568,30929,14717,16213,410000,2011,28
43Ëê,217913,184365,99542,84823,33547,16282,17266,410000,2011,29
44Ëê,158374,133976,73499,60477,24398,11952,12447,410000,2011,30
45Ëê,168087,142305,80239,62066,25782,13221,12561,410000,2011,31
46Ëê,164478,138837,78730,60107,25640,12943,12697,410000,2011,32
47Ëê,170599,144431,83065,61366,26168,13431,12737,410000,2011,33
48Ëê,209757,176565,100984,75581,33192,17224,15968,410000,2011,34
49Ëê,147667,126224,74746,51478,21443,11432,10010,410000,2011,35
50Ëê,55750,48522,37495,11027,7228,5719,1509,410000,2011,36
51Ëê,65994,57166,47439,9727,8828,7943,885,410000,2011,37
52Ëê,56705,48896,42584,6312,7809,7312,497,410000,2011,38
53Ëê,71938,62522,55248,7274,9416,9011,405,410000,2011,39
54Ëê,71544,62315,54941,7374,9229,8830,399,410000,2011,40
55Ëê,53530,46152,41461,4692,7377,7098,279,410000,2011,41
56Ëê,51511,44371,39975,4395,7140,6944,197,410000,2011,42
57Ëê,50009,41995,38295,3700,8014,7815,199,410000,2011,43
58Ëê,44536,37115,34086,3028,7421,7253,168,410000,2011,44
59Ëê,38364,32464,29654,2810,5900,5744,157,410000,2011,45
60Ëê,12368,11023,9126,1897,1345,1297,48,410000,2011,46
61Ëê,9181,8596,6375,2221,585,535,50,410000,2011,47
62Ëê,5782,5035,3724,1310,747,449,298,410000,2011,48
63Ëê,3834,3595,2546,1050,239,206,32,410000,2011,49
64Ëê,3195,3065,2168,897,130,99,31,410000,2011,50
65Ëê¼°ÒÔÉÏ,29972,27523,17314,10209,2450,1259,1190,410000,2011,51
ºÏ¼Æ,3284486,2014360,1410995,603365,1270126,687112,583014,230000,2011,1
16Ëê¼°ÒÔÏÂ,65,35,27,8,30,12,18,230000,2011,2
17Ëê,15,11,6,5,4,2,2,230000,2011,3
18Ëê,13,7,5,2,6,3,3,230000,2011,4
19Ëê,12,9,6,3,3,1,2,230000,2011,5
20Ëê,18,14,9,5,4,1,3,230000,2011,6
21Ëê,26,21,10,11,5,4,1,230000,2011,7
22Ëê,26,18,10,8,8,3,5,230000,2011,8
23Ëê,31,20,11,9,11,3,8,230000,2011,9
24Ëê,64,52,34,18,12,6,6,230000,2011,10
25Ëê,96,77,48,29,19,8,11,230000,2011,11
26Ëê,103,89,56,33,14,7,7,230000,2011,12
27Ëê,141,111,63,48,30,13,17,230000,2011,13
28Ëê,271,212,134,78,59,23,36,230000,2011,14
29Ëê,942,746,444,302,196,94,102,230000,2011,15
30Ëê,1559,1252,847,405,307,137,170,230000,2011,16
31Ëê,2953,2253,1495,758,700,343,357,230000,2011,17
32Ëê,8115,6001,4109,1892,2114,1040,1074,230000,2011,18
33Ëê,18117,13298,9133,4165,4819,2344,2475,230000,2011,19
34Ëê,28364,20335,13577,6758,8029,3835,4194,230000,2011,20
35Ëê,46364,32272,20973,11299,14092,6466,7626,230000,2011,21
36Ëê,68762,46855,29258,17597,21907,9810,12097,230000,2011,22
37Ëê,90832,60581,36655,23926,30251,12900,17351,230000,2011,23
38Ëê,122431,80285,48470,31815,42146,17888,24258,230000,2011,24
39Ëê,151035,97993,60362,37631,53042,22459,30583,230000,2011,25
40Ëê,159006,101554,62246,39308,57452,23807,33645,230000,2011,26
41Ëê,179201,113169,70034,43135,66032,27119,38913,230000,2011,27
42Ëê,173264,107689,66543,41146,65575,26277,39298,230000,2011,28
43Ëê,194022,118303,73144,45159,75719,29957,45762,230000,2011,29
44Ëê,153795,92682,58340,34342,61113,24398,36715,230000,2011,30
45Ëê,170214,99735,64149,35586,70479,27767,42712,230000,2011,31
46Ëê,196250,113502,74644,38858,82748,33252,49496,230000,2011,32
47Ëê,210676,120022,80255,39767,90654,36751,53903,230000,2011,33
48Ëê,238975,135801,91172,44629,103174,42110,61064,230000,2011,34
49Ëê,196783,107789,72848,34941,88994,36040,52954,230000,2011,35
50Ëê,92582,58936,48060,10876,33646,25297,8349,230000,2011,36
51Ëê,110314,70232,60805,9427,40082,34641,5441,230000,2011,37
52Ëê,89843,56338,49583,6755,33505,30523,2982,230000,2011,38
53Ëê,100858,63084,55786,7298,37774,35250,2524,230000,2011,39
54Ëê,95152,58204,50852,7352,36948,34656,2292,230000,2011,40
55Ëê,81643,47421,42786,4635,34222,32669,1553,230000,2011,41
56Ëê,68693,39642,35694,3948,29051,27831,1220,230000,2011,42
57Ëê,63996,36968,33429,3539,27028,26034,994,230000,2011,43
58Ëê,54493,31754,28629,3125,22739,22080,659,230000,2011,44
59Ëê,48606,27009,24780,2229,21597,21133,464,230000,2011,45
60Ëê,16113,10700,8777,1923,5413,5065,348,230000,2011,46
61Ëê,10317,7493,5636,1857,2824,2537,287,230000,2011,47
62Ëê,6919,5417,3906,1511,1502,1335,167,230000,2011,48
63Ëê,5440,4512,3336,1176,928,797,131,230000,2011,49
64Ëê,4435,3744,2833,911,691,591,100,230000,2011,50
65Ëê¼°ÒÔÉÏ,22541,20113,16986,3127,2428,1793,635,230000,2011,51
ºÏ¼Æ,2346992,2212386,1324625,887705,134606,73297,61309,420000,2011,1
16Ëê¼°ÒÔÏÂ,11080,10998,3268,7730,82,55,27,420000,2011,2
17Ëê,64,40,16,24,24,8,16,420000,2011,3
18Ëê,103,66,31,35,37,16,21,420000,2011,4
19Ëê,70,46,23,23,24,11,13,420000,2011,5
20Ëê,95,66,40,26,29,15,14,420000,2011,6
21Ëê,212,165,96,69,47,30,17,420000,2011,7
22Ëê,370,353,179,174,17,9,8,420000,2011,8
23Ëê,699,680,350,330,19,11,8,420000,2011,9
24Ëê,758,746,385,361,12,5,7,420000,2011,10
25Ëê,746,735,371,364,11,7,4,420000,2011,11
26Ëê,702,696,343,353,6,1,5,420000,2011,12
27Ëê,712,706,339,367,6,4,2,420000,2011,13
28Ëê,759,758,331,427,1,0,1,420000,2011,14
29Ëê,982,969,435,534,13,7,6,420000,2011,15
30Ëê,1062,1040,473,567,22,9,13,420000,2011,16
31Ëê,1549,1343,623,720,206,109,97,420000,2011,17
32Ëê,4888,4761,2183,2578,127,60,67,420000,2011,18
33Ëê,8799,8403,3777,4626,396,143,253,420000,2011,19
34Ëê,19780,18865,8727,10138,915,381,534,420000,2011,20
35Ëê,38391,36193,17546,18621,2198,1019,1179,420000,2011,21
36Ëê,58023,54793,26908,27882,3230,1428,1802,420000,2011,22
37Ëê,69283,65180,31996,33183,4103,1866,2237,420000,2011,23
38Ëê,87837,82447,41414,41033,5390,2458,2932,420000,2011,24
39Ëê,112905,105793,53521,52271,7112,3294,3818,420000,2011,25
40Ëê,123401,115851,58496,57354,7550,3516,4034,420000,2011,26
41Ëê,143643,134610,67642,66966,9033,4157,4876,420000,2011,27
42Ëê,139370,130745,64808,65936,8625,3811,4814,420000,2011,28
43Ëê,153206,143819,70955,72864,9387,4166,5221,420000,2011,29
44Ëê,101594,95379,47527,47852,6215,2835,3380,420000,2011,30
45Ëê,108407,101660,52452,49207,6747,3127,3620,420000,2011,31
46Ëê,108178,101628,52817,48811,6550,3001,3549,420000,2011,32
47Ëê,129745,122320,64511,57809,7425,3422,4003,420000,2011,33
48Ëê,170266,161307,84833,76474,8959,4136,4823,420000,2011,34
49Ëê,141601,133879,72463,61415,7722,3726,3996,420000,2011,35
50Ëê,53076,50414,42250,8164,2662,2061,601,420000,2011,36
51Ëê,58267,54824,42324,12500,3443,2416,1027,420000,2011,37
52Ëê,54809,52299,47173,5125,2510,2221,289,420000,2011,38
53Ëê,66037,62984,56923,6061,3053,2751,302,420000,2011,39
54Ëê,68009,64981,58426,6554,3028,2708,320,420000,2011,40
55Ëê,49346,46978,43341,3625,2368,2171,197,420000,2011,41
56Ëê,43220,41003,37730,3269,2217,2004,213,420000,2011,42
57Ëê,49768,47325,43222,4103,2443,2228,215,420000,2011,43
58Ëê,41419,39369,36285,3083,2050,1902,148,420000,2011,44
59Ëê,38431,36222,32914,3308,2209,2047,162,420000,2011,45
60Ëê,9064,8389,5741,2648,675,521,154,420000,2011,46
61Ëê,7465,6972,4380,2592,493,264,229,420000,2011,47
62Ëê,6542,6133,3764,2369,409,220,189,420000,2011,48
63Ëê,5539,5209,3269,1940,330,133,197,420000,2011,49
64Ëê,5939,5579,3448,2131,360,163,197,420000,2011,50
65Ëê¼°ÒÔÉÏ,50781,46665,33556,13109,4116,2644,1472,420000,2011,51
ºÏ¼Æ,1793212,1341425,930682,410743,451787,268966,182821,430000,2011,1
16Ëê¼°ÒÔÏÂ,0,0,,,0,,,430000,2011,2
17Ëê,0,0,,,0,,,430000,2011,3
18Ëê,0,0,,,0,,,430000,2011,4
19Ëê,0,0,,,0,,,430000,2011,5
20Ëê,0,0,,,0,,,430000,2011,6
21Ëê,0,0,,,0,,,430000,2011,7
22Ëê,0,0,,,0,,,430000,2011,8
23Ëê,0,0,,,0,,,430000,2011,9
24Ëê,0,0,,,0,,,430000,2011,10
25Ëê,0,0,,,0,,,430000,2011,11
26Ëê,0,0,,,0,,,430000,2011,12
27Ëê,0,0,,,0,,,430000,2011,13
28Ëê,0,0,,,0,,,430000,2011,14
29Ëê,0,0,,,0,,,430000,2011,15
30Ëê,0,0,,,0,,,430000,2011,16
31Ëê,0,0,,,0,,,430000,2011,17
32Ëê,0,0,,,0,,,430000,2011,18
33Ëê,793,793,541,252,0,,,430000,2011,19
34Ëê,1242,1242,808,434,0,,,430000,2011,20
35Ëê,2218,2218,1377,841,0,,,430000,2011,21
36Ëê,8684,6173,3963,2210,2511,1391,1120,430000,2011,22
37Ëê,16698,14151,8561,5590,2547,1555,992,430000,2011,23
38Ëê,34977,28166,17491,10675,6811,4265,2546,430000,2011,24
39Ëê,45565,33364,20176,13188,12201,7349,4852,430000,2011,25
40Ëê,70110,51252,35133,16119,18858,9767,9091,430000,2011,26
41Ëê,82902,59337,40113,19224,23565,11781,11784,430000,2011,27
42Ëê,90559,64624,43479,21145,25935,13705,12230,430000,2011,28
43Ëê,97959,70637,46481,24156,27322,15443,11879,430000,2011,29
44Ëê,85119,63925,39073,24852,21194,10460,10734,430000,2011,30
45Ëê,84718,62874,34935,27939,21844,12112,9732,430000,2011,31
46Ëê,100399,77856,52528,25328,22543,11715,10828,430000,2011,32
47Ëê,111984,86237,57921,28316,25747,14378,11369,430000,2011,33
48Ëê,125954,98732,68055,30677,27222,15043,12179,430000,2011,34
49Ëê,136095,112425,78460,33965,23670,11960,11710,430000,2011,35
50Ëê,86949,65174,37691,27483,21775,15719,6056,430000,2011,36
51Ëê,89021,67440,43247,24193,21581,10257,11324,430000,2011,37
52Ëê,99542,73241,52577,20664,26301,17576,8725,430000,2011,38
53Ëê,90945,66406,48125,18281,24539,13089,11450,430000,2011,39
54Ëê,95881,68948,52889,16059,26933,14649,12284,430000,2011,40
55Ëê,95902,71004,51924,19080,24898,13025,11873,430000,2011,41
56Ëê,43720,33438,33417,21,10282,10219,63,430000,2011,42
57Ëê,33794,23929,23919,10,9865,9865,,430000,2011,43
58Ëê,32657,20015,19982,33,12642,12642,,430000,2011,44
59Ëê,28572,17571,17563,8,11001,11001,,430000,2011,45
60Ëê,39,39,39,,0,,,430000,2011,46
61Ëê,11,11,11,,0,,,430000,2011,47
62Ëê,9,9,9,,0,,,430000,2011,48
63Ëê,60,60,60,,0,,,430000,2011,49
64Ëê,79,79,79,,0,,,430000,2011,50
65Ëê¼°ÒÔÉÏ,55,55,55,,0,,,430000,2011,51
ºÏ¼Æ,2428298,2412318,1487929,924389,15980,9688,6292,220000,2011,1
16Ëê¼°ÒÔÏÂ,6,6,3,3,0,0,0,220000,2011,2
17Ëê,14,14,7,7,0,0,0,220000,2011,3
18Ëê,26,26,19,7,0,0,0,220000,2011,4
19Ëê,40,40,30,10,0,0,0,220000,2011,5
20Ëê,63,63,40,23,0,0,0,220000,2011,6
21Ëê,63,63,36,27,0,0,0,220000,2011,7
22Ëê,43,42,28,14,1,1,0,220000,2011,8
23Ëê,30,30,17,13,0,0,0,220000,2011,9
24Ëê,64,63,40,23,1,1,0,220000,2011,10
25Ëê,51,51,35,16,0,0,0,220000,2011,11
26Ëê,37,37,26,11,0,0,0,220000,2011,12
27Ëê,52,51,33,18,1,0,1,220000,2011,13
28Ëê,170,170,108,62,0,0,0,220000,2011,14
29Ëê,295,293,189,104,2,1,1,220000,2011,15
30Ëê,655,651,394,257,4,3,1,220000,2011,16
31Ëê,2112,2098,1212,886,14,9,5,220000,2011,17
32Ëê,7247,7214,4043,3171,33,22,11,220000,2011,18
33Ëê,17896,17777,10206,7571,119,78,41,220000,2011,19
34Ëê,29017,28850,16228,12622,167,91,76,220000,2011,20
35Ëê,41257,41062,22499,18563,195,111,84,220000,2011,21
36Ëê,53500,53189,28286,24903,311,172,139,220000,2011,22
37Ëê,63639,63274,33692,29582,365,183,182,220000,2011,23
38Ëê,89888,89390,47627,41763,498,263,235,220000,2011,24
39Ëê,115981,115301,62126,53175,680,374,306,220000,2011,25
40Ëê,123985,123230,64600,58630,755,431,324,220000,2011,26
41Ëê,140063,139221,72728,66493,842,492,350,220000,2011,27
42Ëê,132653,131775,68147,63628,878,487,391,220000,2011,28
43Ëê,148549,147561,76537,71024,988,500,488,220000,2011,29
44Ëê,111620,110889,57238,53651,731,342,389,220000,2011,30
45Ëê,116601,115791,61284,54507,810,361,449,220000,2011,31
46Ëê,131807,130946,69330,61616,861,409,452,220000,2011,32
47Ëê,147279,146337,78170,68167,942,457,485,220000,2011,33
48Ëê,170063,169046,88771,80275,1017,509,508,220000,2011,34
49Ëê,143673,142770,75316,67454,903,396,507,220000,2011,35
50Ëê,58847,58501,46803,11698,346,272,74,220000,2011,36
51Ëê,80918,80493,67752,12741,425,323,102,220000,2011,37
52Ëê,63017,62671,53368,9303,346,258,88,220000,2011,38
53Ëê,78518,78034,66070,11964,484,350,134,220000,2011,39
54Ëê,75283,74697,60819,13878,586,367,219,220000,2011,40
55Ëê,53927,53534,49403,4131,393,356,37,220000,2011,41
56Ëê,51157,50759,47553,3206,398,369,29,220000,2011,42
57Ëê,50541,50077,47022,3055,464,436,28,220000,2011,43
58Ëê,44245,43802,41025,2777,443,417,26,220000,2011,44
59Ëê,42216,41622,39181,2441,594,572,22,220000,2011,45
60Ëê,8656,8519,6689,1830,137,112,25,220000,2011,46
61Ëê,7227,7177,5319,1858,50,41,9,220000,2011,47
62Ëê,4473,4444,3201,1243,29,15,14,220000,2011,48
63Ëê,2206,2180,1602,578,26,12,14,220000,2011,49
64Ëê,1802,1779,1352,427,23,9,14,220000,2011,50
65Ëê¼°ÒÔÉÏ,16826,16708,11725,4983,118,86,32,220000,2011,51
ºÏ¼Æ,3740722,3459469,2109443,1347930,281253,154888,126340,320000,2011,1
16Ëê¼°ÒÔÏÂ,2114,2113,1941,172,1,1,0,320000,2011,2
17Ëê,62,61,29,32,1,0,1,320000,2011,3
18Ëê,355,355,176,179,0,0,0,320000,2011,4
19Ëê,785,784,425,359,1,1,0,320000,2011,5
20Ëê,1841,1840,963,877,1,1,0,320000,2011,6
21Ëê,3397,3394,1776,1618,3,1,2,320000,2011,7
22Ëê,4019,4019,2103,1916,0,0,0,320000,2011,8
23Ëê,3866,3862,1930,1932,4,3,1,320000,2011,9
24Ëê,4071,4059,2075,1984,12,3,9,320000,2011,10
25Ëê,3498,3482,1735,1747,16,5,11,320000,2011,11
26Ëê,2488,2478,1163,1314,10,4,6,320000,2011,12
27Ëê,2376,2345,1050,1295,31,10,21,320000,2011,13
28Ëê,2822,2776,1228,1547,46,12,34,320000,2011,14
29Ëê,4252,4177,1861,2316,75,22,53,320000,2011,15
30Ëê,5161,5027,2152,2875,134,53,81,320000,2011,16
31Ëê,7020,6777,3100,3672,243,76,167,320000,2011,17
32Ëê,10461,10025,4855,5162,436,169,267,320000,2011,18
33Ëê,18250,17450,8868,8577,800,278,522,320000,2011,19
34Ëê,34389,32465,16360,16088,1924,722,1202,320000,2011,20
35Ëê,59515,55763,28440,27289,3752,1486,2265,320000,2011,21
36Ëê,84899,79164,41113,37998,5735,2332,3403,320000,2011,22
37Ëê,99498,92868,48372,44450,6630,2747,3883,320000,2011,23
38Ëê,117712,109678,58104,51513,8034,3318,4716,320000,2011,24
39Ëê,140980,130875,70787,59980,10105,4291,5814,320000,2011,25
40Ëê,165659,152439,81687,70661,13220,5567,7653,320000,2011,26
41Ëê,197388,181459,96628,84734,15929,6592,9336,320000,2011,27
42Ëê,190308,174645,92343,82212,15663,6379,9284,320000,2011,28
43Ëê,204186,187203,99160,87954,16983,6717,10264,320000,2011,29
44Ëê,154030,140761,75183,65521,13269,5263,8006,320000,2011,30
45Ëê,171385,156185,85022,71081,15200,6126,9072,320000,2011,31
46Ëê,178890,162387,88902,73379,16503,6513,9989,320000,2011,32
47Ëê,188554,170327,93349,76870,18227,7230,10994,320000,2011,33
48Ëê,238902,213357,118502,94724,25545,9953,15588,320000,2011,34
49Ëê,184661,165691,93871,71739,18970,7395,11574,320000,2011,35
50Ëê,80264,75220,57487,17675,5044,4556,488,320000,2011,36
51Ëê,107319,101275,80886,20250,6044,5689,349,320000,2011,37
52Ëê,88276,81935,65159,16729,6341,6085,256,320000,2011,38
53Ëê,107249,99523,79202,20242,7726,7452,274,320000,2011,39
54Ëê,115945,106526,85140,21326,9419,9020,398,320000,2011,40
55Ëê,89149,81886,66725,15126,7263,7204,58,320000,2011,41
56Ëê,88583,81206,65734,15432,7377,7348,29,320000,2011,42
57Ëê,94046,85684,70820,14797,8362,8341,21,320000,2011,43
58Ëê,81888,74503,60916,13544,7385,7370,14,320000,2011,44
59Ëê,79227,71648,58330,13267,7579,7566,12,320000,2011,45
60Ëê,28906,28532,18263,10244,374,367,7,320000,2011,46
61Ëê,25838,25642,16633,8997,196,191,5,320000,2011,47
62Ëê,24524,24433,15722,8696,91,91,0,320000,2011,48
63Ëê,20202,20147,12473,7656,55,53,2,320000,2011,49
64Ëê,18392,18367,11254,7098,25,24,1,320000,2011,50
65Ëê¼°ÒÔÉÏ,203120,202651,119446,83084,469,261,208,320000,2011,51
ºÏ¼Æ,,,,,,,,360000,2011,1
16Ëê¼°ÒÔÏÂ,0,0,0,0,0,0,0,360000,2011,2
17Ëê,0,0,0,0,0,0,0,360000,2011,3
18Ëê,0,0,0,0,0,0,0,360000,2011,4
19Ëê,0,0,0,0,0,0,0,360000,2011,5
20Ëê,0,0,0,0,0,0,0,360000,2011,6
21Ëê,0,0,0,0,0,0,0,360000,2011,7
22Ëê,0,0,0,0,0,0,0,360000,2011,8
23Ëê,0,0,0,0,0,0,0,360000,2011,9
24Ëê,0,0,0,0,0,0,0,360000,2011,10
25Ëê,0,0,0,0,0,0,0,360000,2011,11
26Ëê,0,0,0,0,0,0,0,360000,2011,12
27Ëê,0,0,0,0,0,0,0,360000,2011,13
28Ëê,0,0,0,0,0,0,0,360000,2011,14
29Ëê,0,0,0,0,0,0,0,360000,2011,15
30Ëê,0,0,0,0,0,0,0,360000,2011,16
31Ëê,0,0,0,0,0,0,0,360000,2011,17
32Ëê,0,0,0,0,0,0,0,360000,2011,18
33Ëê,1,0,0,0,0,0,0,360000,2011,19
34Ëê,1,1,1,1,0,0,0,360000,2011,20
35Ëê,3,2,1,1,0,0,0,360000,2011,21
36Ëê,4,4,2,2,0,0,0,360000,2011,22
37Ëê,6,5,3,3,0,0,0,360000,2011,23
38Ëê,7,6,3,3,0,0,0,360000,2011,24
39Ëê,8,7,4,3,0,0,0,360000,2011,25
40Ëê,9,9,5,4,0,0,0,360000,2011,26
41Ëê,9,9,5,4,0,0,0,360000,2011,27
42Ëê,11,11,6,5,0,0,0,360000,2011,28
43Ëê,10,10,5,5,0,0,0,360000,2011,29
44Ëê,12,12,6,5,1,0,0,360000,2011,30
45Ëê,9,9,5,4,0,0,0,360000,2011,31
46Ëê,10,10,5,4,0,0,0,360000,2011,32
47Ëê,11,10,6,4,0,0,0,360000,2011,33
48Ëê,11,11,6,5,0,0,0,360000,2011,34
49Ëê,13,12,7,5,0,0,0,360000,2011,35
50Ëê,10,9,6,4,0,0,0,360000,2011,36
51Ëê,4,4,3,1,0,0,0,360000,2011,37
52Ëê,5,5,4,1,0,0,0,360000,2011,38
53Ëê,5,5,4,1,0,0,0,360000,2011,39
54Ëê,6,5,5,1,0,0,0,360000,2011,40
55Ëê,5,5,4,1,0,0,0,360000,2011,41
56Ëê,4,4,3,0,0,0,0,360000,2011,42
57Ëê,3,3,3,0,0,0,0,360000,2011,43
58Ëê,4,4,3,0,0,0,0,360000,2011,44
59Ëê,4,4,3,0,0,0,0,360000,2011,45
60Ëê,3,3,3,0,0,0,0,360000,2011,46
61Ëê,1,1,1,0,0,0,0,360000,2011,47
62Ëê,1,1,1,0,0,0,0,360000,2011,48
63Ëê,1,1,1,0,0,0,0,360000,2011,49
64Ëê,1,1,0,0,0,0,0,360000,2011,50
65Ëê¼°ÒÔÉÏ,1,1,0,0,0,0,0,360000,2011,51
ºÏ¼Æ,266,170,120,50,96,57,40,210000,2011,1
16Ëê¼°ÒÔÏÂ,,,,,,,,210000,2011,2
17Ëê,,,,,,,,210000,2011,3
18Ëê,,,,,,,,210000,2011,4
19Ëê,,,,,,,,210000,2011,5
20Ëê,,,,,,,,210000,2011,6
21Ëê,,,,,,,,210000,2011,7
22Ëê,,,,,,,,210000,2011,8
23Ëê,,,,,,,,210000,2011,9
24Ëê,,,,,,,,210000,2011,10
25Ëê,,,,,,,,210000,2011,11
26Ëê,,,,,,,,210000,2011,12
27Ëê,,,,,,,,210000,2011,13
28Ëê,,,,,,,,210000,2011,14
29Ëê,,,,,,,,210000,2011,15
30Ëê,,,,,,,,210000,2011,16
31Ëê,0,0,0,0,0,0,0,210000,2011,17
32Ëê,0,0,0,0,0,0,0,210000,2011,18
33Ëê,1,0,0,0,0,0,0,210000,2011,19
34Ëê,1,0,0,0,0,0,0,210000,2011,20
35Ëê,1,1,1,0,0,0,0,210000,2011,21
36Ëê,2,1,1,0,0,0,0,210000,2011,22
37Ëê,3,2,1,1,1,0,0,210000,2011,23
38Ëê,6,4,2,2,2,1,1,210000,2011,24
39Ëê,9,6,4,2,3,1,2,210000,2011,25
40Ëê,11,7,4,3,4,2,2,210000,2011,26
41Ëê,14,9,5,4,5,2,3,210000,2011,27
42Ëê,14,9,5,4,5,2,3,210000,2011,28
43Ëê,17,11,6,5,6,3,3,210000,2011,29
44Ëê,12,7,4,3,5,2,3,210000,2011,30
45Ëê,14,9,5,3,6,2,3,210000,2011,31
46Ëê,17,11,7,4,7,3,4,210000,2011,32
47Ëê,20,12,8,4,8,3,4,210000,2011,33
48Ëê,26,16,10,6,11,5,6,210000,2011,34
49Ëê,19,11,7,4,8,3,4,210000,2011,35
50Ëê,7,5,4,1,2,2,0,210000,2011,36
51Ëê,11,8,7,1,3,3,,210000,2011,37
52Ëê,9,6,5,1,3,3,,210000,2011,38
53Ëê,11,7,7,1,3,3,,210000,2011,39
54Ëê,10,7,6,1,4,4,,210000,2011,40
55Ëê,8,5,4,0,3,3,,210000,2011,41
56Ëê,7,4,4,,3,3,,210000,2011,42
57Ëê,6,4,4,,2,2,,210000,2011,43
58Ëê,5,3,3,,2,2,,210000,2011,44
59Ëê,4,3,3,,2,2,,210000,2011,45
60Ëê,1,1,1,,0,0,,210000,2011,46
61Ëê,,,,,,,,210000,2011,47
62Ëê,,,,,,,,210000,2011,48
63Ëê,,,,,,,,210000,2011,49
64Ëê,,,,,,,,210000,2011,50
65Ëê¼°ÒÔÉÏ,,,,,,,,210000,2011,51
ºÏ¼Æ,1072095,510017,333786,176232,562078,343370,218707,150000,2011,1
16Ëê¼°ÒÔÏÂ,6238,2723,1544,1179,3515,1947,1568,150000,2011,2
17Ëê,89,79,73,6,9,7,2,150000,2011,3
18Ëê,140,125,117,8,14,12,2,150000,2011,4
19Ëê,262,222,198,23,40,19,21,150000,2011,5
20Ëê,323,272,231,41,52,35,16,150000,2011,6
21Ëê,568,477,366,110,92,59,33,150000,2011,7
22Ëê,924,748,496,251,176,106,71,150000,2011,8
23Ëê,1481,1199,740,459,282,167,115,150000,2011,9
24Ëê,1842,1489,965,524,353,216,136,150000,2011,10
25Ëê,1819,1459,970,489,360,221,139,150000,2011,11
26Ëê,2597,1656,1078,578,941,442,499,150000,2011,12
27Ëê,1995,1661,1079,581,334,195,139,150000,2011,13
28Ëê,2001,1641,1088,554,360,202,158,150000,2011,14
29Ëê,2372,1962,1315,647,409,233,176,150000,2011,15
30Ëê,2384,1949,1308,641,435,242,193,150000,2011,16
31Ëê,2993,2038,1341,697,955,541,414,150000,2011,17
32Ëê,3836,2531,1652,879,1305,748,557,150000,2011,18
33Ëê,6923,3845,2405,1439,3078,1637,1441,150000,2011,19
34Ëê,10754,5312,3265,2048,5441,2956,2485,150000,2011,20
35Ëê,18547,8934,5360,3574,9613,5552,4061,150000,2011,21
36Ëê,25235,12446,7330,5115,12790,6730,6060,150000,2011,22
37Ëê,33882,16721,9802,6919,17161,9011,8150,150000,2011,23
38Ëê,42474,21299,12387,8912,21175,10796,10379,150000,2011,24
39Ëê,52248,25714,14980,10734,26534,13754,12780,150000,2011,25
40Ëê,55320,26684,15536,11148,28636,14433,14203,150000,2011,26
41Ëê,67529,32981,19215,13766,34548,17540,17008,150000,2011,27
42Ëê,62111,29261,17036,12225,32850,16862,15988,150000,2011,28
43Ëê,69001,32746,18773,13973,36255,18134,18120,150000,2011,29
44Ëê,52999,23914,14180,9734,29085,14290,14795,150000,2011,30
45Ëê,55908,25503,15755,9748,30404,16317,14088,150000,2011,31
46Ëê,58287,26615,16528,10087,31672,17050,14621,150000,2011,32
47Ëê,63395,28486,17899,10586,34910,18936,15973,150000,2011,33
48Ëê,69061,31149,19288,11861,37913,20371,17542,150000,2011,34
49Ëê,59023,25757,15896,9861,33266,17775,15491,150000,2011,35
50Ëê,25773,11770,9273,2497,14003,11449,2554,150000,2011,36
51Ëê,28453,13500,11456,2045,14953,12980,1973,150000,2011,37
52Ëê,22309,10735,9339,1396,11574,10640,934,150000,2011,38
53Ëê,24690,11639,10239,1400,13051,12141,910,150000,2011,39
54Ëê,24073,11116,9796,1321,12957,12065,891,150000,2011,40
55Ëê,18878,8311,7628,683,10567,9947,621,150000,2011,41
56Ëê,17472,7332,6789,543,10140,9650,489,150000,2011,42
57Ëê,17796,7233,6718,515,10563,10104,459,150000,2011,43
58Ëê,15320,5931,5494,436,9389,9008,381,150000,2011,44
59Ëê,14392,5390,4915,475,9001,8663,339,150000,2011,45
60Ëê,6000,2221,1765,456,3779,3565,214,150000,2011,46
61Ëê,2917,1280,866,414,1637,1430,207,150000,2011,47
62Ëê,2028,979,525,454,1049,879,169,150000,2011,48
63Ëê,1452,784,382,402,668,567,101,150000,2011,49
64Ëê,1412,822,482,339,590,487,103,150000,2011,50
